ID,wings,ocelli,datawings,dataflight
16-030,partially,absent,1,0
16-067,partially,absent,1,0
16-096,partially,absent,1,0
16-099,partially,absent,1,0
16-120,fully,absent,1,1
16-121,partially,absent,1,0
16-122,partially,absent,1,0
16-142,partially,absent,1,0
16-148,fully,absent,1,1
16-196,partially,absent,1,0
16-202,partially,absent,1,0
16-232,partially,absent,1,0
16-264,partially,absent,1,0
16-282,partially,absent,1,0
17-008,partially,absent,1,0
17-256,partially,absent,1,0
17-336,partially,absent,1,0
18-217,partially,absent,1,0
20-004,partially,absent,1,0
BA16-030,wingless,absent,0,0
BAF1,wingless,absent,0,0
BAL4,wingless,absent,0,0
CLN4,wingless,absent,0,0
CLO2,wingless,absent,0,0
CRG2,wingless,absent,0,0
DAJ1,wingless,absent,0,0
ENK1,wingless,absent,0,0
GB001,wingless,absent,0,0
GB002,wingless,absent,0,0
GB003,partially,present,1,0
GB004,fully,present,1,1
GB005,fully,present,1,1
GB006,wingless,absent,0,0
GB007,wingless,absent,0,0
GB008,partially,present,1,0
GB009,wingless,absent,0,0
GB010,wingless,absent,0,0
GB011,wingless,absent,0,0
GB012,wingless,absent,0,0
GB013,wingless,absent,0,0
GB014,partially,absent,1,0
GB015,partially,absent,1,0
GB016,wingless,absent,0,0
GB017,partially,absent,1,0
GB018,wingless,absent,0,0
GB019,partially,absent,1,0
GB020,wingless,absent,0,0
GB021,wingless,absent,0,0
GB022,wingless,absent,0,0
GB023,partially,absent,1,0
GB024,partially,absent,1,0
GB025,wingless,absent,0,0
GB026,fully,absent,1,1
GB027,wingless,absent,0,0
GB028,wingless,absent,0,0
GB029,wingless,absent,0,0
GB030,wingless,absent,0,0
GB031,partially,absent,1,0
GB032,partially,absent,1,0
GB033,wingless,absent,0,0
GB034,wingless,absent,0,0
GB035,wingless,absent,0,0
GB036,fully,absent,1,1
GB037,wingless,absent,0,0
GB038,wingless,absent,0,0
GB039,wingless,absent,0,0
GB040,wingless,absent,0,0
GB041,wingless,absent,0,0
GB042,wingless,absent,0,0
GB043,fully,absent,1,1
GB044,wingless,absent,0,0
GB045,wingless,absent,0,0
GB046,wingless,absent,0,0
GB047,wingless,absent,0,0
GB048,fully,present,1,1
GB049,fully,present,1,1
GB050,fully,present,1,1
GB051,partially,absent,1,0
GB052,partially,absent,1,0
GB053,partially,absent,1,0
GB054,partially,absent,1,0
GB055,wingless,absent,0,0
GB056,wingless,absent,0,0
GB057,partially,absent,1,0
GB058,partially,absent,1,0
GB059,partially,absent,1,0
GB060,wingless,absent,0,0
GB061,wingless,absent,0,0
GB062,partially,absent,1,0
GB063,wingless,absent,0,0
GB064,wingless,absent,0,0
GB065,wingless,absent,0,0
GB066,fully,present,1,1
GB067,fully,absent,1,1
GB068,partially,absent,1,0
GB069,wingless,absent,0,0
GB070,partially,absent,1,0
GB071,wingless,absent,0,0
GB072,fully,absent,1,1
GB073,wingless,absent,0,0
GB074,fully,present,1,1
GB075,wingless,absent,0,0
GB076,fully,present,1,1
GB077,wingless,absent,0,0
GB078,partially,absent,1,0
GB079,fully,present,1,1
GB080,wingless,absent,0,0
GB081,partially,absent,1,0
GB082,partially,absent,1,0
GB083,wingless,absent,0,0
GB084,wingless,absent,0,0
GB085,wingless,absent,0,0
GB086,wingless,absent,0,0
GB087,partially,absent,1,0
GB088,partially,present,1,0
GB089,wingless,absent,0,0
GB090,wingless,absent,0,0
GB091,wingless,absent,0,0
GB092,wingless,absent,0,0
GB093,wingless,absent,0,0
GB094,wingless,absent,0,0
GB095,wingless,absent,0,0
GB096,wingless,absent,0,0
GB097,wingless,absent,0,0
GB098,wingless,absent,0,0
GB099,partially,absent,1,0
GB100,wingless,absent,0,0
GB101,partially,absent,1,0
GB102,wingless,absent,0,0
GB103,wingless,absent,0,0
GB104,partially,absent,1,0
GB105,partially,absent,1,0
GB106,wingless,absent,0,0
GB107,wingless,absent,0,0
GB108,wingless,absent,0,0
GB109,wingless,absent,0,0
GB110,wingless,absent,0,0
GB111,wingless,absent,0,0
GB112,partially,present,1,0
GB113,partially,absent,1,0
GB114,partially,absent,1,0
GB115,partially,absent,1,0
GB116,wingless,absent,0,0
GB117,fully,present,1,1
GB118,partially,absent,1,0
GB119,wingless,absent,0,0
GB120,wingless,absent,0,0
GB121,wingless,absent,0,0
GB122,wingless,absent,0,0
GB123,fully,present,1,1
GB124,partially,absent,1,0
GB125,fully,present,1,1
GB126,fully,present,1,1
GB127,partially,present,1,0
GB128,fully,present,1,1
GB129,wingless,absent,0,0
GB130,wingless,absent,0,0
GB131,wingless,absent,0,0
GB132,wingless,absent,0,0
GB133,wingless,absent,0,0
GB134,wingless,absent,0,0
GB135,wingless,absent,0,0
GB136,wingless,absent,0,0
GB137,wingless,absent,0,0
GB138,wingless,absent,0,0
GB139,fully,absent,1,1
GB140,wingless,absent,0,0
GB141,wingless,absent,0,0
GB142,wingless,absent,0,0
GB143,wingless,absent,0,0
GB144,wingless,absent,0,0
GB145,wingless,absent,0,0
GB146,wingless,absent,0,0
GB147,wingless,absent,0,0
GB148,wingless,absent,0,0
GB149,wingless,absent,0,0
GB150,wingless,absent,0,0
GB151,fully,absent,1,1
GB152,fully,absent,1,1
GB153,wingless,absent,0,0
GB154,fully,present,1,1
GB155,wingless,absent,0,0
GB156,wingless,absent,0,0
GB157,wingless,absent,0,0
GB158,wingless,absent,0,0
GB159,wingless,absent,0,0
GB160,wingless,absent,0,0
GB161,wingless,absent,0,0
GB162,wingless,absent,0,0
GB163,wingless,absent,0,0
GB164,wingless,absent,0,0
GB165,wingless,absent,0,0
GB166,wingless,absent,0,0
GB167,wingless,absent,0,0
GB168,wingless,absent,0,0
GB169,wingless,absent,0,0
GB170,wingless,absent,0,0
GB171,wingless,absent,0,0
GB172,wingless,absent,0,0
GB173,wingless,absent,0,0
GB174,fully,absent,1,1
GB175,fully,absent,1,1
GB176,wingless,absent,0,0
GB177,wingless,absent,0,0
GB178,wingless,absent,0,0
GB179,wingless,absent,0,0
GB180,wingless,absent,0,0
GB181,wingless,absent,0,0
GB182,wingless,absent,0,0
GB183,wingless,absent,0,0
GB184,wingless,absent,0,0
GB185,wingless,absent,0,0
GB186,wingless,absent,0,0
GB187,wingless,absent,0,0
GB188,wingless,absent,0,0
GB189,partially,absent,1,0
GB190,partially,absent,1,0
GB191,partially,absent,1,0
GB192,partially,absent,1,0
GB193,wingless,absent,0,0
GB194,partially,absent,1,0
GB195,fully,present,1,1
GB196,wingless,absent,0,0
GB197,wingless,absent,0,0
GB198,wingless,absent,0,0
GB199,wingless,absent,0,0
GB200,partially,absent,1,0
GB201,wingless,absent,0,0
GB202,wingless,absent,0,0
GB203,wingless,absent,0,0
GB204,wingless,absent,0,0
GB205,wingless,absent,0,0
GB206,wingless,absent,0,0
GB207,wingless,absent,0,0
GB208,wingless,absent,0,0
GB209,wingless,absent,0,0
GB210,wingless,absent,0,0
GB211,wingless,absent,0,0
GB212,wingless,absent,0,0
GB213,wingless,absent,0,0
GB214,fully,absent,1,1
GB215,fully,absent,1,1
GB216,wingless,absent,0,0
GB217,partially,absent,1,0
GB218,wingless,absent,0,0
GB219,wingless,absent,0,0
GB220,wingless,absent,0,0
GB221,wingless,absent,0,0
LET1,wingless,absent,0,0
LO16-096,wingless,absent,0,0
LOP3,wingless,absent,0,0
Ma001,partially,absent,1,0
Ma003,partially,absent,1,0
Ma004,partially,absent,1,0
Ma005,wingless,absent,0,0
Ma006,wingless,absent,0,0
Ma007,wingless,absent,0,0
Ma013,wingless,absent,0,0
Ma018,wingless,absent,0,0
Ma019,wingless,absent,0,0
Ma028,wingless,absent,0,0
Ma029,wingless,absent,0,0
Ma032,wingless,absent,0,0
Ma036,wingless,absent,0,0
Ma039,partially,absent,1,0
Ma060,partially,absent,1,0
Ma070,partially,absent,1,0
Ma085,wingless,absent,0,0
Ma091,wingless,absent,0,0
Ma095,wingless,absent,0,0
Ma100,wingless,absent,0,0
Ma102,wingless,absent,0,0
Ma113,partially,absent,1,0
Ma119,partially,absent,1,0
Ma122,partially,absent,1,0
Ma123,partially,absent,1,0
Ma124,partially,absent,1,0
MAC1,wingless,absent,0,0
PAZ1,wingless,absent,0,0
PHA4,partially,absent,1,0
PIJ1,wingless,absent,0,0
PRC1,wingless,absent,0,0
PSM1,wingless,absent,0,0
Q7,partially,absent,1,0
S7,partially,absent,1,0
S9,partially,absent,1,0
SB0002,wingless,absent,0,0
SB0005,wingless,absent,0,0
SB0007,fully,present,1,1
SB0008,wingless,absent,0,0
SB0009,fully,present,1,1
SB0012,wingless,absent,0,0
SB0013,fully,absent,1,1
SB0016,wingless,absent,0,0
SB0017,wingless,absent,0,0
SB0020,wingless,absent,0,0
SB0022,wingless,absent,0,0
SB0024,wingless,absent,0,0
SB0026,partially,absent,1,0
SB0028,wingless,absent,0,0
SB0030,fully,absent,1,1
SB0031,partially,absent,1,0
SB0043,wingless,absent,0,0
SB0051,wingless,absent,0,0
SB0052,fully,absent,1,1
SB0055,fully,present,1,1
SB0056,fully,absent,1,1
SB0057,wingless,absent,0,0
SB0060,wingless,absent,0,0
SB0061,fully,present,1,1
SB0062,wingless,absent,0,0
SB0065,partially,absent,1,0
SB0066,partially,absent,1,0
SB0067,fully,present,1,1
SB0069,fully,present,1,1
SB0070,wingless,absent,0,0
SB0071,partially,present,1,0
SB0072,wingless,absent,0,0
SB0075,partially,absent,1,0
SB0079,partially,absent,1,0
SB0080,wingless,absent,0,0
SB0084,wingless,absent,0,0
SB0085,wingless,absent,0,0
SB0086,wingless,absent,0,0
SB0087,wingless,absent,0,0
SB0089,partially,absent,1,0
SB0094,partially,absent,1,0
SB0096,fully,absent,1,1
SB0097,partially,absent,1,0
SB0101,partially,absent,1,0
SB0103,partially,absent,1,0
SB0107,fully,absent,1,1
SB0108,wingless,absent,0,0
SB0110,partially,absent,1,0
SB0111,fully,present,1,1
SB0113,wingless,absent,0,0
SB0115,wingless,absent,0,0
SB0118,wingless,absent,0,0
SB0123,partially,absent,1,0
SB0126,fully,present,1,1
SB0132,wingless,absent,0,0
SB0136,partially,absent,1,0
SB0138,wingless,absent,0,0
SB0140,wingless,absent,0,0
SB0141,wingless,absent,0,0
SB0146,wingless,absent,0,0
SB0149,partially,absent,1,0
SB0150,wingless,absent,0,0
SB0152,wingless,absent,0,0
SB0158,wingless,absent,0,0
SB0162,partially,absent,1,0
SB0163,wingless,absent,0,0
SB0167,fully,absent,1,1
SB0168,wingless,absent,0,0
SB0170,wingless,absent,0,0
SB0171,wingless,absent,0,0
SB0172,wingless,absent,0,0
SB0176,wingless,absent,0,0
SB0178,wingless,absent,0,0
SB0180,partially,absent,1,0
SB0181,wingless,absent,0,0
SB0182,wingless,absent,0,0
SB0183,wingless,absent,0,0
SB0184,partially,absent,1,0
SB0186,wingless,absent,0,0
SB0187,partially,absent,1,0
SB0188,wingless,absent,0,0
SB0189,partially,absent,1,0
SB0190,partially,absent,1,0
SB0191,wingless,absent,0,0
SB0193,wingless,absent,0,0
SB0196,wingless,absent,0,0
SB0202,wingless,absent,0,0
SB0206,wingless,absent,0,0
SB0207,wingless,absent,0,0
SB0212,wingless,absent,0,0
SB0214,wingless,absent,0,0
SB0215,wingless,absent,0,0
SB0216,wingless,absent,0,0
SB0217,wingless,absent,0,0
SB0218,wingless,absent,0,0
SB0219,wingless,absent,0,0
SB0224,partially,absent,1,0
SB0232,fully,absent,1,1
SB0234,wingless,absent,0,0
SB0236,wingless,absent,0,0
SB0237,wingless,absent,0,0
SB0257,wingless,absent,0,0
SB0262,partially,absent,1,0
SB0270,wingless,absent,0,0
SB0280,wingless,absent,0,0
SB0287,wingless,absent,0,0
SB0293,wingless,absent,0,0
SB0295,wingless,absent,0,0
SB0296,wingless,absent,0,0
SB0300,wingless,absent,0,0
SB0301,partially,absent,1,0
SB0308,partially,present,1,0
SB0316,wingless,absent,0,0
SB0318,wingless,absent,0,0
SB0321,partially,absent,1,0
SB0322,wingless,absent,0,0
SB0327,partially,absent,1,0
SB0329,wingless,absent,0,0
SB0334,wingless,absent,0,0
SB0339,fully,absent,1,1
SB0342,fully,absent,1,1
SB0343,wingless,absent,0,0
SB0344,wingless,absent,0,0
SB0345,wingless,absent,0,0
SB0346,wingless,absent,0,0
SB0347,wingless,absent,0,0
SB0348,wingless,absent,0,0
SB0349,wingless,absent,0,0
SB0351,partially,absent,1,0
SB0352,wingless,absent,0,0
SB0353,wingless,absent,0,0
SB0354,wingless,absent,0,0
SB0355,wingless,absent,0,0
SB0357,wingless,absent,0,0
SB0361,wingless,absent,0,0
SB0362,wingless,absent,0,0
SB0363,wingless,absent,0,0
SB0366,wingless,absent,0,0
SB0367,wingless,absent,0,0
SB0368,wingless,absent,0,0
SB0370,wingless,absent,0,0
SB0371,wingless,absent,0,0
SB0373,wingless,absent,0,0
SB0374,wingless,absent,0,0
SB0375,wingless,absent,0,0
SB0376,wingless,absent,0,0
SB0377,wingless,absent,0,0
SB0378,wingless,absent,0,0
SB0379,fully,absent,1,1
SB0380,wingless,absent,0,0
SB0381,wingless,absent,0,0
SB0391,fully,present,1,1
SB0395,wingless,absent,0,0
SB0397,fully,absent,1,1
SB0398,wingless,absent,0,0
SB0399,wingless,absent,0,0
SB0400,wingless,absent,0,0
SB0403,partially,absent,1,0
SB0405,partially,absent,1,0
SB0406,partially,absent,1,0
SB0414,fully,absent,1,1
SB0415,wingless,absent,0,0
SB0416,wingless,absent,0,0
SB0420,fully,absent,1,1
SB0421,fully,absent,1,1
SB0422,fully,present,1,1
SB0426,fully,absent,1,1
SB0429,fully,present,1,1
SB0430,fully,absent,1,1
SB0434,wingless,absent,0,0
SB0437,fully,absent,1,1
SB0438,partially,absent,1,0
SB0440,wingless,absent,0,0
SB0442,wingless,absent,0,0
SB0444,wingless,absent,0,0
SB0450,wingless,absent,0,0
SB0451,fully,present,1,1
SB0456,wingless,absent,0,0
SB0458,wingless,absent,0,0
SB0459,partially,absent,1,0
SB0465,wingless,absent,0,0
SB0466,fully,absent,1,1
SB0469,fully,present,1,1
SB0470,wingless,absent,0,0
SB0472,fully,present,1,1
SB0473,wingless,absent,0,0
SB0474,wingless,absent,0,0
SB0476,wingless,absent,0,0
SB0479,fully,present,1,1
SB0480,wingless,absent,0,0
SB0481,fully,absent,1,1
SB0496,wingless,absent,0,0
SB0497,wingless,absent,0,0
SB0498,wingless,absent,0,0
SB0499,wingless,absent,0,0
SB0501,wingless,absent,0,0
