ID,wings,ocelli,datawings,dataflight
18-217,fully,present,1,1
20-004,fully,absent,1,1
16-148,fully,present,1,1
16-120,fully,present,1,1
BAF1,no,absent,0,0
BAL3,no,absent,0,0
BAL4,no,absent,0,0
17-336,fully,present,1,1
16-282,fully,present,1,1
CLN4,no,absent,0,0
CLO2,no,absent,0,0
CRG2,fully,absent,1,1
16-202,fully,present,1,1
DAJ1,fully,absent,1,1
ENK1,no,absent,0,0
16-067,fully,present,1,1
16-142,fully,present,1,1
GB173,no,absent,0,0
GB174,fully,absent,1,1
GB175,fully,absent,1,1
GB176,no,absent,0,0
GB177,no,absent,0,0
GB178,no,absent,0,0
GB179,no,absent,0,0
GB180,no,absent,0,0
GB181,no,absent,0,0
GB182,no,absent,0,0
GB183,no,absent,0,0
GB184,no,absent,0,0
GB185,no,absent,0,0
GB186,no,absent,0,0
GB187,no,absent,0,0
GB188,no,absent,0,0
GB189,fully,absent,1,1
GB190,fully,absent,1,1
GB191,fully,absent,1,1
GB192,fully,absent,1,1
GB193,no,absent,0,0
GB194,fully,absent,1,1
GB195,fully,present,1,1
GB196,no,absent,0,0
GB197,no,absent,0,0
GB198,fully,absent,1,1
GB199,partially,absent,1,0
GB200,partially,absent,1,0
GB201,no,absent,0,0
GB202,no,absent,0,0
GB203,no,absent,0,0
GB204,no,absent,0,0
GB205,no,absent,0,0
GB206,no,absent,0,0
GB207,no,absent,0,0
GB208,no,absent,0,0
GB209,no,absent,0,0
GB210,no,absent,0,0
GB211,fully,absent,1,1
GB212,no,absent,0,0
GB213,fully,absent,1,1
GB214,fully,absent,1,1
GB215,fully,absent,1,1
GB216,no,absent,0,0
GB217,fully,absent,1,1
GB218,no,absent,0,0
GB219,no,absent,0,0
GB220,fully,absent,1,1
GB221,no,absent,0,0
16-196,fully,absent,1,1
16-122,fully,absent,1,1
16-121,fully,absent,1,1
16-264,fully,present,1,1
16-030,fully,present,1,1
LET1,no,absent,0,0
LON3,no,absent,0,0
LOP3,no,absent,0,0
Ma001,partially,absent,1,0
Ma003,partially,absent,1,0
Ma004,partially,absent,1,0
Ma005,no,absent,0,0
Ma006,fully,absent,1,1
Ma007,no,absent,0,0
Ma013,no,absent,0,0
Ma018,fully,absent,1,1
Ma019,no,absent,0,0
Ma028,no,absent,0,0
Ma029,fully,absent,1,1
Ma032,no,absent,0,0
