ID,name
16-030,Pulchriphyllium pulchrifolium
16-067,Walaphyllium monteithi
16-096,Pseudopmicrophyllium pusillulum
16-099,Microphyllium haskelli
16-120,Cryptophyllium yunnanense
16-121,Phyllium fallorum
16-122,Phyllium antonkozlovi
16-142,Phyllium philippinicum
16-148,Cryptophyllium westwoodii
16-196,Phyllium bradleri
16-202,Phyllium gardabagusi
16-232,Phyllium chenqiae
16-264,Nanophyllium asekiense
16-282,Comptaphyllium caudatum
17-008,Phyllium letiranti
17-256,Pseudopmicrophyllium geryon
17-336,Walaphyllium zomproi
18-217,Cryptophyllium bollensi
20-004,Phyllium siccifolium
BAF1,Bacteria ferula
BAL3,Bacillus rossius
BAL4,Bacillus atticus
CLN4,Clonaria sp. 7
CLO2,Clonopsis felicitatis
CRG2,Cranidium gibbosum
DAJ1,Dajaca monilicornis
ENK1,Entoria koshunensis
GB001,Abrosoma festinatum
GB002,Acanthoxyla geisovii
GB003,Acrophylla thoon
GB004,Acrophylla titan
GB005,Acrophylla wuelfingi
GB006,Agathemera cf. maculafulgens
GB007,Agathemera nr. crassa
GB008,Anchiale briareus
GB009,Anisomorpha buprestoides
GB010,Anisomorpha ferruginea
GB011,Apterograeffea marshallae
GB012,Apterograeffea reunionensis
GB013,Aretaon asperrimus
GB014,Asprenas impennis
GB015,Autolyca sp. (AUT1/WS059)
GB016,Bacteria ploiaria
GB017,Bactrododema sp. (STI14)
GB018,Baculofractum insigne
GB019,Canachus alligator
GB020,Carausius morosus
GB021,Carausius sechellensis
GB022,Caribbiopheromera jamaicana
GB023,Carlius fecundus
GB024,Chitoniscus feejeeanus
GB025,Chondrostethus woodfordi
GB026,Cigarrophasma tessellatum
GB027,Clitarchus hookeri
GB028,Clonaria natalis
GB029,Clonaria conformans
GB030,Clonaria sp. 1 (WS066)
GB031,Cnipsus rachis
GB032,Creoxylus spinosus
GB033,Cuniculina cuniculus
GB034,Diapherodes=Venupherodes venustula
GB035,Diapheromera femorata
GB036,Diesbachia tamyris
GB037,Dimorphodes mancus
GB038,Dimorphodes prostasis
GB039,Dinophasma kinabaluense
GB040,Dinophasma saginatum
GB041,Dryococelus australis
GB042,Dyme sp. (WS161) cf. ambigua
GB043,Epicharmus marchali
GB044,Erinaceophasma vepres
GB045,Eurycantha calcarata
GB046,Eurycantha coronata
GB047,Eurycantha insularis
GB048,Eurycnema goliath
GB049,Eurycnema goliath
GB050,Eurycnema osiris
GB051,Extatosoma popa
GB052,Extatosoma tiaratum
GB053,Extatosoma tiaratum bufonium
GB054,Extatosoma tiaratum tiaratum
GB055,Gratidia sp. (STI15)
GB056,Gratidia sp. (STI11)
GB057,Haaniella dehaanii
GB058,Haaniella scabra
GB059,Haplopus=Diapherodes jamaicensis
GB060,Hermarchus sp. (WS122)
GB061,Hermarchus sp. (WS123)
GB062,Heteropteryx dilatata
GB063,Hoploclonia abercrombiei
GB064,Hoploclonia cuspidata
GB065,Hoploclonia gecko
GB066,Isagoras sp. (ISA1)
GB067,Korinninae sp.
GB068,Labidiophasma rouxi
GB069,Lamponius guerini
GB070,Leosthenes sp. (NA1)
GB071,Leprocaulinus insularis
GB072,Lopaphus sphalerus
GB073,Macrophasma biroi
GB074,Malacomorpha cyllarus
GB075,Malacomorpha jamaicana
GB076,Malandania pulchra
GB077,Medauroidea extradentata
GB078,Megacrania batesii
GB079,Metriophasma diocles
GB080,Micrarchus hystriculeus
GB081,Microcanachus matileorum
GB082,Monandroptera acanthomera
GB083,Monoiognosis bipunctata
GB084,Monoiognosis spinosa
GB085,Neohirasea hongkongensis
GB086,Neohirasea maerens
GB087,Pseudophasma sp. (WS479)
GB088,Pseudophasma sp. (WS478)
GB089,Neopromachus doreyanus
GB090,Neopromachus dyselius
GB091,Neopromachus obrutus
GB092,Neopromachus pachynotus
GB093,Neopromachus scharreri
GB094,Neopromachus wallacei
GB095,Obrimus bicolanus
GB096,Ocnophiloidea regularis
GB097,Ocnophiloidea sp. (OCN1)
GB098,Oligotoma nigra
GB099,Onchestus rentzi
GB100,Oncotophasma martini
GB101,Ophicrania bifasciatus
GB102,Oreophoetes peruana
GB103,Otocrania sp. (WS126)
GB104,Oxyartes lamellatus
GB105,Oxyartes spinipennis
GB106,Pachymorpha sp. (PAC1)
GB107,Paramenexenus laetus
GB108,Parapachymorpha spinigera
GB109,Parapachymorpha spinosa
GB110,Paraphanocles sp. (WS473)
GB111,Paronchestus charon
GB112,Peruphasma schultei
GB113,Phaenopharos herwaardeni
GB114,Phaenopharos khaoyaiensis
GB115,Phaenopharos struthioneus
GB116,Phalces tuberculatus
GB117,Phasma gigas
GB118,Phasmotaenia lanyuhensis
GB119,Phryganistira heusii
